Data/Hora;Dia;Mês;Ano;Data;Hora;Baixa Tensão (kWh);Média Tensão (kWh);Alta Tensão (kWh);Muito Alta Tensão (kWh);Total (kWh)
2023-06-20T10:30:00+01:00;20;06;2023;2023-06-20;10:30;695097.966484;624685.9026;200956.7483;61513.1343;1582253.7516840002
2023-06-20T15:15:00+01:00;20;06;2023;2023-06-20;15:15;679305.527251;614474.7801;203117.9491;66168.4877;1563066.7441510002
2023-06-22T16:00:00+01:00;22;06;2023;2023-06-22;16:00;682524.480383;617483.3206;205621.647;79556.2938;1585185.741783
2023-06-23T02:15:00+01:00;23;06;2023;2023-06-23;02:15;514067.938319;428883.1805;208756.4288;89378.4621;1241086.0097190002
2023-06-24T06:45:00+01:00;24;06;2023;2023-06-24;06:45;477541.660397;374387.5787;200535.8063;47868.9573;1100334.002697
2023-06-26T05:30:00+01:00;26;06;2023;2023-06-26;05:30;507899.35572;363490.0573;203366.6046;92162.2231;1166918.2407200001
2023-06-28T01:30:00+01:00;28;06;2023;2023-06-28;01:30;609170.535162;461242.9961;226305.879;91563.0975;1388282.507762
2023-06-28T09:45:00+01:00;28;06;2023;2023-06-28;09:45;747418.870379;666585.399;209881.9266;70020.0544;1693906.250379
2023-06-29T02:00:00+01:00;29;06;2023;2023-06-29;02:00;571962.312774;449595.885;215791.4415;66107.1043;1303456.743574
2023-06-29T21:30:00+01:00;29;06;2023;2023-06-29;21:30;869068.365081;545983.8073;231880.2597;87086.302;1734018.734081
2023-06-30T01:45:00+01:00;30;06;2023;2023-06-30;01:45;564029.235693;438792.0369;223071.2901;66933.1957;1292825.758393
2023-06-30T23:00:00+01:00;30;06;2023;2023-06-30;23:00;773360.865247;470153.1961;221107.742;66143.9337;1530765.737047
2023-07-04T10:30:00+01:00;04;07;2023;2023-07-04;10:30;727000.104991;630034.1286;211767.6311;69429.8867;1638231.7513909999
2023-07-04T17:30:00+01:00;04;07;2023;2023-07-04;17:30;725756.615987;603254.1655;218817.2438;91440.9841;1639269.0093870002
2023-07-05T19:15:00+01:00;05;07;2023;2023-07-05;19:15;815991.802729;573600.7233;224956.0945;61658.6336;1676207.2541290002
2023-07-06T13:00:00+01:00;06;07;2023;2023-07-06;13:00;747084.253338;560432.99;199276.0501;72725.6978;1579518.991238
2023-07-06T16:15:00+01:00;06;07;2023;2023-07-06;16:15;706684.807696;625201.8837;207814.267;59593.0515;1599294.009896
2023-07-08T07:30:00+01:00;08;07;2023;2023-07-08;07:30;509969.921573;401032.5355;205781.5035;86441.7851;1203225.7456729999
2023-07-09T11:45:00+01:00;09;07;2023;2023-07-09;11:45;666146.426695;314639.9571;187381.5699;73296.3073;1241464.2609950001
2023-07-09T16:15:00+01:00;09;07;2023;2023-07-09;16:15;567429.51721;324478.5261;188603.2585;93499.9385;1174011.24031
2023-07-11T11:45:00+01:00;11;07;2023;2023-07-11;11:45;744798.180901;626860.731;195038.8438;38726.741;1605424.4967009998
2023-07-13T00:30:00+01:00;13;07;2023;2023-07-13;00:30;639331.52716;462358.901;216918.1168;57938.7077;1376547.25266
2023-07-14T18:00:00+01:00;14;07;2023;2023-07-14;18:00;781983.586378;613859.5608;223986.5459;63408.8094;1683238.5024779998
2023-07-15T03:00:00+01:00;15;07;2023;2023-07-15;03:00;544396.366024;402968.7729;213834.3318;51930.024;1213129.4947239999
2023-07-15T17:00:00+01:00;15;07;2023;2023-07-15;17:00;641491.951272;362018.9755;197340.8303;53807.7425;1254659.499572
2023-07-18T15:45:00+01:00;18;07;2023;2023-07-18;15:45;716793.63282;639683.8071;207031.5733;60858.7273;1624367.74052
2023-07-18T18:15:00+01:00;18;07;2023;2023-07-18;18:15;748099.62148;596192.9792;211082.9909;61842.663;1617218.25458
