Ano;Mês;Data;Distrito;Concelho;Freguesia;Inclui contador inteligente;Número de CPE's;Código Distrito;Código Concelho;Código Freguesia;Contrato Ativo
2024;9;2024-09;Aveiro;Oliveira de Azeméis;Fajões;Sim;1415;01;0113;011303;Sim
2024;9;2024-09;Viseu;Santa Comba Dão;São Joaninho;Sim;658;18;1814;181405;Sim
2024;9;2024-09;Faro;Portimão;Portimão;Sim;44798;08;0811;081103;Sim
2024;9;2024-09;Porto;Felgueiras;Revinhade;Sim;351;13;1303;130319;Sim
2024;9;2024-09;Portalegre;Crato;Crato e Mártires, Flor da Rosa e Vale do Peso;Sim;1711;12;1206;120607;Sim
2024;9;2024-09;Évora;Vila Viçosa;Ciladas;Sim;591;07;0714;071402;Sim
2024;9;2024-09;Beja;Beja;Santa Clara de Louredo;Sim;325;02;0205;020510;Sim
2024;9;2024-09;Bragança;Mogadouro;Paradela;Sim;118;04;0408;040811;Sim
2024;9;2024-09;Viana do Castelo;Paredes de Coura;Romarigães;Não;102;16;1605;160519;Sim
2024;9;2024-09;Viseu;Mortágua;Marmeleira;Sim;309;18;1808;180805;Sim
2024;9;2024-09;Leiria;Leiria;Bidoeira de Cima;Sim;1292;10;1009;100926;Sim
2024;9;2024-09;Viana do Castelo;Arcos de Valdevez;Alvora e Loureda;Sim;335;16;1601;160152;Sim
2024;9;2024-09;Braga;Guimarães;Serzedelo;Sim;1580;03;0308;030866;Sim
2024;9;2024-09;Vila Real;Ribeira de Pena;Salvador e Santo Aleixo de Além-Tâmega;Sim;2193;17;1709;170909;Sim
2024;9;2024-09;Porto;Felgueiras;Penacova;Sim;384;13;1303;130313;Sim
2024;9;2024-09;Porto;Baião;Grilo;Sim;292;13;1302;130207;Sim
2024;9;2024-09;Guarda;Pinhel;Manigoto;Não;5;09;0910;091014;Sim
2024;9;2024-09;Lisboa;Lisboa;Ajuda;Sim;9430;11;1106;110601;Sim
2024;9;2024-09;Porto;Gondomar;Fânzeres e São Pedro da Cova;Sim;16839;13;1304;130413;Sim
2024;9;2024-09;Lisboa;Odivelas;Odivelas;Sim;34036;11;1116;111603;Sim
2024;9;2024-09;Viseu;Resende;Anreade e São Romão de Aregos;Sim;884;18;1813;181316;Sim
2024;9;2024-09;Porto;Vila do Conde;Vilar e Mosteiró;Sim;1210;13;1316;131637;Sim
2024;9;2024-09;Bragança;Torre de Moncorvo;Larinho;Sim;366;04;0409;040910;Sim
2024;9;2024-09;Aveiro;Arouca;São Miguel do Mato;Não;14;01;0104;010417;Sim
2024;9;2024-09;Faro;Vila Real de Santo António;Monte Gordo;Sim;7022;08;0816;081603;Sim
2024;9;2024-09;Porto;Amarante;Louredo;Sim;353;13;1301;130120;Sim
2024;9;2024-09;Braga;Fafe;Travassós;Sim;750;03;0307;030733;Sim
2024;9;2024-09;Aveiro;Aveiro;São Jacinto;Sim;657;01;0105;010511;Sim
2024;9;2024-09;Viseu;Viseu;Bodiosa;Não;37;18;1823;182304;Sim
2024;9;2024-09;Évora;Évora;São Bento do Mato;Sim;659;07;0705;070506;Sim
2024;9;2024-09;Guarda;Guarda;Rochoso e Monte Margarida;Não;79;09;0907;090765;Sim
2024;9;2024-09;Lisboa;Mafra;Venda do Pinheiro e Santo Estêvão das Galés;Não;36;11;1109;110922;Sim
2024;9;2024-09;Castelo Branco;Fundão;Orca;Não;6;05;0504;050420;Sim
2024;9;2024-09;Porto;Amarante;Jazente;Não;18;13;1301;130118;Sim
2024;9;2024-09;Beja;Almodôvar;Rosário;Sim;440;02;0202;020203;Sim
2024;9;2024-09;Coimbra;Cantanhede;Cadima;Sim;1525;06;0602;060203;Sim
2024;9;2024-09;Vila Real;Peso da Régua;Fontelas;Sim;371;17;1708;170802;Sim
2024;9;2024-09;Leiria;Alvaiázere;Maçãs de Dona Maria;Não;8;10;1002;100204;Sim
2024;9;2024-09;Santarém;Tomar;Paialvo;Não;34;14;1418;141809;Sim
2024;9;2024-09;Faro;Albufeira;Albufeira e Olhos de Água;Sim;40361;08;0801;080106;Sim
2024;9;2024-09;Braga;Vila Verde;Cabanelas;Sim;864;03;0313;031308;Sim
2024;9;2024-09;Setúbal;Sesimbra;Sesimbra (Castelo);Sim;15465;15;1511;151101;Sim
2024;9;2024-09;Aveiro;Águeda;Fermentelos;Sim;1802;01;0101;010109;Sim
2024;9;2024-09;Guarda;Fornos de Algodres;Maceira;Sim;226;09;0905;090509;Sim
2024;9;2024-09;Beja;Castro Verde;São Marcos da Ataboeira;Sim;330;02;0206;020605;Sim
2024;9;2024-09;Faro;Faro;Santa Bárbara de Nexe;Não;275;08;0805;080503;Sim
2024;9;2024-09;Viana do Castelo;Melgaço;Fiães;Sim;170;16;1603;160307;Sim
2024;9;2024-09;Viseu;Castro daire;Mamouros, Alva e Ribolhos;Sim;863;18;1803;180323;Sim
2024;9;2024-09;Viseu;Sátão;Mioma;Sim;848;18;1817;181706;Sim
2024;9;2024-09;Faro;Tavira;Conceição e Cabanas de Tavira;Sim;6320;08;0814;081410;Sim
2024;9;2024-09;Braga;Braga;Braga (São José de São Lázaro e São João do Souto);Sim;10872;03;0303;030365;Sim
2024;9;2024-09;Beja;Odemira;São Teotónio;Não;610;02;0211;021121;Sim
2024;9;2024-09;Vila Real;Valpaços;Santa Maria de Emeres;Sim;286;17;1712;171219;Sim
2024;9;2024-09;Vila Real;Ribeira de Pena;Canedo;Sim;393;17;1709;170902;Sim
2024;9;2024-09;Santarém;Coruche;São José da Lamarosa;Sim;860;14;1409;140903;Sim
2024;9;2024-09;Leiria;Alvaiázere;Pelmá;Sim;699;10;1002;100205;Sim
2024;9;2024-09;Viana do Castelo;Ponte de Lima;Beiral do Lima;Sim;384;16;1607;160707;Sim
2024;9;2024-09;Aveiro;Águeda;Trofa, Segadães e Lamas do Vouga;Não;21;01;0101;010126;Sim
2024;9;2024-09;Guarda;Fornos de Algodres;Fornos de Algodres;Não;7;09;0905;090505;Sim
2024;9;2024-09;Bragança;Bragança;Quintela de Lampaças;Não;19;04;0402;040233;Sim
2024;9;2024-09;Santarém;Ferreira do Zêzere;Ferreira do Zêzere;Sim;2142;14;1411;141106;Sim
2024;9;2024-09;Braga;Barcelos;Ucha;Sim;646;03;0302;030282;Sim
2024;9;2024-09;Coimbra;Coimbra;Santo António dos Olivais;Não;18;06;0603;060318;Sim
2024;9;2024-09;Aveiro;Santa Maria da Feira;Milheirós de Poiares;Sim;1833;01;0109;010914;Sim
2024;9;2024-09;Viana do Castelo;Caminha;Moledo e Cristelo;Sim;2353;16;1602;160224;Sim
2024;9;2024-09;Santarém;Salvaterra de Magos;Muge;Sim;779;14;1415;141503;Sim
2024;9;2024-09;Beja;Odemira;Sabóia;Sim;682;02;0211;021103;Sim
